Temperature_min,Temperature_max,WindSpeedAt3am,WindSpeedAt10am,WindSpeedAt6pm,HumidityLevelAt10am,HumidityAt6pm,PressureAt10am,PressureAt6pm,TemperatureAt10am,TemperatureAt6pm,WillRainTomorrow?
18.7,25.9,31,7,17,81,50,1039.2,1036.2,26.4,31,No
32.4,27.9,40,18,13,76,78,1027.2,1028.1,34.6,31.1,Yes
35.8,25.7,25,15,14,100,78,1025.3,1032,30.5,34.5,Yes
32.5,45.3,109,19,53,44,30,1015.9,1013.7,34.2,50.4,Yes
30.5,30.1,47,18,14,89,78,1018.8,1019.1,35.7,38.5,Yes
11.7,16.5,21,12,2,102,99,1021.2,1015.1,16.7,30.2,Yes
29.6,38.3,21,16,19,93,54,1023.5,1021.7,32,47,No
27.7,39.8,64,15,21,80,42,1024.9,1023.3,35.6,41.9,No
20.6,17,25,10,18,94,72,1029.2,1023.8,28.2,29.7,No
23.1,18.5,41,27,17,89,75,1024.3,1023.2,23.9,26.4,No
19.7,32.9,54,33,19,54,40,1025.8,1017.8,35.9,33.4,No
33,33.9,55,14,15,83,54,1034.4,1027.3,35,39.4,Yes
26.8,24.8,53,22,20,82,82,1034,1026.2,24.1,27.2,Yes
23.9,20.4,88,49,43,51,50,1008.8,1007.4,29,32.4,No
17.9,21.7,18,9,12,98,66,1043.4,1034.3,24.1,27,No
38,42.3,50,24,30,36,22,1024.1,1016.6,46,50.8,No
32.7,40,44,14,11,64,30,1028.1,1019.2,37.6,49,No
18.7,31.2,24,11,15,63,25,1030.9,1028.3,32,37.9,No
26.3,24.3,60,33,21,56,34,1030,1026.8,25.3,31.7,No
13.9,25.6,18,16,18,105,66,1030.8,1026.4,22.7,33.3,No
29.9,27.8,36,14,24,90,78,1027.6,1024.1,30,40.5,No
27.7,34.8,32,15,13,45,28,1021.7,1019.8,29.2,35.2,No
19.9,20.8,40,22,29,87,80,1023.1,1021.5,28.5,30.9,No
33.1,36.6,29,23,12,80,60,1028.1,1024,31.2,43,No
39.3,43,57,26,16,63,27,1016.8,1016.6,45.6,50.1,Yes
40.6,47.7,43,16,17,58,26,1024.3,1021,46.6,49.2,No
26.3,29.1,44,18,28,84,71,1014.7,1013.3,36.4,36.4,Yes
24.7,33.3,77,35,22,73,75,1008.9,1011.5,41.9,33.6,No
19.6,19.6,44,18,19,101,99,1021.3,1023.8,29.1,27.5,Yes
25.2,34.5,46,24,21,48,42,1024.4,1019.2,40.4,47.3,No
26.9,23.6,114,34,31,82,103,1003.3,996,32.4,34.8,Yes
12.7,22,29,8,26,109,76,1025.5,1026.4,20.8,33.4,No
17.4,26.6,56,24,34,55,52,1022.1,1025,24.1,32.7,No
19.9,29.9,41,8,18,79,47,1034,1024.9,26.3,32.6,No
23.8,20.2,55,25,28,90,63,1022.9,1027.3,26.5,28.6,No
25.5,42.1,39,7,22,73,34,1020.6,1015.6,34.3,48.5,No
28.3,35.9,45,13,29,55,42,1024.3,1020.4,37.8,37.3,No
19.9,31.1,33,9,23,98,65,1027.9,1023.7,30.4,36.2,Yes
35.7,41,37,15,15,59,29,1021.6,1020.5,35.2,48.1,No
23.6,29.9,37,20,20,92,70,1023.2,1026.5,27.2,32.6,No
19,25.9,37,9,22,81,56,1021.6,1018.7,31.3,29.8,No
22.2,18.7,35,20,16,99,76,1033,1029.1,22.8,23,Yes
15.4,25.6,34,9,21,78,47,1027.5,1021.3,32.2,38.1,No
19,26.6,42,17,21,82,49,1013,1004.7,31.3,30.8,Yes
29.1,32.4,49,11,16,63,37,1024.2,1016.7,26.7,36.5,No
20,25.3,62,15,31,56,43,1017.9,1019.6,28.5,33.3,No
25.3,21.9,41,25,29,92,73,1025.7,1022.8,22,31,No
33.1,36.6,43,9,27,70,64,1021.7,1019.6,35.1,36.7,No
36.8,24.5,43,25,21,73,88,1021.8,1022.6,27.2,31.5,Yes
23.9,33.7,36,8,13,84,48,1024.2,1022.8,32.1,35.3,No
25.5,26.2,18,10,7,94,95,1026.9,1020.5,31.8,37.4,Yes
24.7,35.6,46,20,20,61,64,1019.5,1014.3,39.4,39.8,Yes
29.4,22.9,39,19,19,88,96,1031.7,1032.2,31.9,29.4,Yes
24.2,28.9,30,14,19,84,47,1031.1,1028.1,31.6,36.5,No
22,19.6,40,20,18,96,85,1006.3,1006.9,21.8,23.6,Yes
26.4,18.6,35,13,23,97,93,1013.5,1018,24.8,27.2,Yes
26.5,37.6,43,13,24,80,56,1014.9,1017.9,41,37.4,Yes
18.3,32,44,20,24,52,35,1020.9,1021.2,24.5,39.8,No
31.8,45.8,38,5,15,98,54,1029.6,1023.8,41.3,54.5,No
14,20.7,27,9,21,75,49,1030.6,1028.7,23.6,27.8,No
24.7,24.4,80,22,24,68,91,1017.2,1009.8,31.1,33.9,Yes
32.1,33.1,58,7,36,97,40,1004.3,1003.1,33.4,44.6,Yes
30,48.3,42,16,21,61,20,1015.9,1009.9,34.2,52,No
35.2,29.6,56,34,24,68,90,1010.8,1019,32.1,30.6,Yes
27.7,35.3,32,14,19,105,55,1020.3,1023.7,29.3,46.4,No
35.5,33.1,46,15,25,73,55,1020.1,1014.6,37,42.6,No
20.3,31.8,47,27,26,71,40,1022.5,1027.1,35,40.9,No
22,16.9,29,18,20,89,78,1026.9,1025.6,22.2,25.2,Yes
38.5,44.5,50,13,16,77,41,1012,1011.6,38.5,46.7,Yes
25.4,34.6,36,13,16,54,29,1028.3,1018.3,31.9,42.7,No
27.6,42,66,15,27,41,40,1021.7,1018.6,44.6,43,No
21.8,29,40,16,25,85,45,1034.6,1027.3,21.2,32.6,No
21.6,28,27,15,18,83,73,1029.4,1022.4,25,35.8,Yes
9,22.1,31,10,3,91,43,1030,1027.8,23.3,29.8,No
22.7,38.1,38,15,23,61,41,1026.6,1026.7,28.8,43.2,Yes
32.3,43.1,44,16,22,75,68,1011.7,1009.6,34.4,43.4,No
24.6,18,43,22,26,73,70,1034,1029.9,25.7,28.6,No
37.3,32.3,41,13,12,110,81,1014.5,1011.4,36,38.9,Yes
27.2,22,52,22,25,97,94,1006.9,1005.5,23.2,31,Yes
28.8,41.1,37,19,14,66,33,1017.7,1017.8,39.8,47.2,No
30.7,29,44,4,18,102,60,1013.8,1009.3,28.8,36.8,Yes
19.2,24.8,21,21,10,102,105,1027.1,1021.6,29,28.8,Yes
29.3,37.4,48,30,18,57,39,1029.2,1021.7,33,39.7,No
34.5,45,27,13,18,62,22,1019.6,1015.5,41.4,52.8,No
26.3,29.1,44,18,28,84,71,1014.7,1013.3,36.4,36.4,Yes
41.3,39,49,26,25,39,24,1017.3,1011.9,41,42.5,No
20.2,31.7,29,12,11,78,45,1036.4,1036.7,26.7,37,No
32,31.2,57,4,29,91,67,1019.1,1015.4,37.1,42.7,Yes
35.2,41.4,41,18,12,48,22,1019.6,1014.7,44.2,50.2,No
37.6,30.8,52,28,23,77,91,1029.1,1025.7,38.3,37.1,Yes
19.9,22,40,13,13,104,109,1022.4,1017.5,23.5,25.4,Yes
29,38.5,96,9,34,66,31,1005.9,1002.7,38.2,52.9,Yes
35.6,42.2,57,31,30,58,45,1024.2,1016.2,33.9,48.2,Yes
25.1,27.9,40,19,28,88,71,1030.8,1023,27.8,34.2,Yes
22.6,37,46,9,18,58,38,1028,1021.9,34.8,35.5,No
25.7,34.4,45,15,24,109,54,1026.9,1022.1,21.1,43.4,Yes
32.1,33.1,58,7,36,97,40,1004.3,1003.1,33.4,44.6,Yes
28.5,34.2,41,16,27,100,71,1034.4,1024.6,34.6,41.3,Yes
25.1,25,28,14,15,104,84,1032.1,1027.8,23.1,27.1,No
28.6,24.2,46,9,6,80,88,1010.9,1007.4,26.9,34.1,Yes
32.1,38.4,47,34,19,59,32,1024.8,1023.2,37.5,49.3,No
33.5,37.1,43,26,28,64,32,1013.5,1011.6,44,41.5,No
34.4,31.7,40,10,13,103,93,1016.7,1012.9,40.4,38.1,Yes
34.5,30.6,26,14,8,75,71,1024.5,1023,37.9,33.9,Yes
13,26.3,56,7,32,108,41,1019.3,1013,17.5,29.3,No
35,30.9,37,14,23,66,58,1027.2,1025.9,39.4,36.8,No
25.8,30.4,24,7,6,98,49,1023.5,1022.9,30.2,38.8,Yes
33.2,30,48,24,29,56,96,1018.4,1018.9,32.4,31.7,Yes
29.7,35.6,26,11,21,81,47,1032.3,1030.8,34.7,37.3,No
14.3,23.8,16,7,7,102,93,1034.9,1027.5,21.8,24.4,Yes
25.7,43.7,46,8,25,56,18,1015.5,1012.6,33,51.7,No
24.8,21.2,62,40,26,88,79,1011.2,1005.9,22.9,26.1,Yes
21.1,26.5,37,10,27,85,62,1014.4,1013.7,28.6,31.4,No
18,20.8,21,4,15,104,71,1039.3,1039.2,25.1,27.7,No
29.1,30.6,34,18,20,89,82,1022.9,1030.4,31.6,32,Yes
22.8,26.3,26,10,20,76,90,1021.3,1013.2,35.6,29.6,Yes
32.3,38.2,43,9,16,95,53,1032.4,1026.1,37.6,49.7,Yes
34.2,35.9,40,22,24,82,67,1032.2,1026.5,39.2,45.9,No
36.3,35.7,46,8,26,100,101,1011.6,1012.9,40.1,40.8,Yes
34.9,32.7,32,24,21,80,53,1014.7,1013.2,39.2,35,No
25.5,34.7,28,16,18,63,36,1025.8,1024.5,35.6,40.1,No
28.5,35.2,45,14,17,90,58,1020,1009.2,42.1,48.4,No
35.3,36.5,53,22,13,93,71,1021.9,1015.7,32.7,42.4,Yes
39.5,42.4,43,24,30,67,73,1017,1018.5,41.2,32.8,Yes
25,33.7,64,23,41,103,60,1016.6,1008.2,32.1,39.8,Yes
29.2,34.3,70,9,24,94,73,1018.4,1013,37.7,38.8,Yes
20.2,25,40,23,32,74,47,1028,1025.7,20.4,31.9,No
25.1,31.1,37,10,13,74,40,1019.5,1018.8,27.4,43.4,No
17.3,22.7,32,9,14,98,82,1031.7,1029.5,25.6,30.3,Yes
29,24.2,48,22,14,72,66,1019.2,1025,37.8,37.3,No
21,28.1,53,16,21,106,104,1023.2,1019.3,25.9,27.8,Yes
19.3,32.7,23,12,16,99,49,1027.7,1025.1,32.1,40.4,No
30.3,39.9,39,17,18,31,20,1025.8,1020.9,37.5,48.1,No
14.3,23.1,53,11,36,84,43,1028.5,1022.6,19.3,33.4,No
31.4,48.5,74,5,43,54,12,1014.7,1014.7,37.5,58.9,No
33,39.4,29,17,19,54,35,1022.1,1018.9,38.9,43.4,No
31.7,32.5,39,17,15,92,82,1030.7,1033,32.1,39.6,Yes
25.9,25.3,29,15,18,104,110,1016.7,1016.6,30.3,33,Yes
22,19.6,40,20,18,96,85,1006.3,1006.9,21.8,23.6,Yes
35.8,37.1,58,28,34,99,75,1000.3,1001.4,34.6,40,Yes
14.4,28.1,36,16,12,61,39,1032.3,1032,28.3,32.2,No
22.8,41,30,8,25,69,32,1024.5,1023.6,36.2,39.4,No
27.3,24.7,33,19,12,89,61,1026.8,1027.7,20.6,28,No
18.5,25.6,37,21,10,105,75,1035.9,1034.5,23.6,32.7,Yes
25.2,23.9,32,16,10,97,105,1011.7,1014,29.5,31.8,Yes
23,35.8,38,16,9,90,51,1025.8,1015.5,29.8,46.5,Yes
37.3,33,44,9,28,78,56,1018.4,1020.1,33.1,38.4,No
28.6,23.8,49,23,20,109,104,1030,1021.1,32.5,23.4,Yes
21,32.5,40,11,20,103,48,1026.7,1023,33.8,36.4,Yes
15,22.7,26,6,13,97,64,1038.2,1038,23.6,35.1,No
14.8,15.9,20,8,17,106,86,1033.5,1021.6,15.6,25,Yes
14,24.1,41,8,29,102,65,1032.5,1029.7,24.2,27,Yes
17.4,19.7,17,3,14,90,56,1042.5,1046.1,20.9,28.2,No
37.8,52.4,87,12,17,46,26,1019.4,1016.8,42.7,60.4,Yes
21.5,26.5,24,19,10,87,58,1033.6,1030.3,30.8,36.5,Yes
33.9,41.1,54,29,25,64,43,1016,1016.4,36.1,46.1,Yes
28.4,36.3,34,16,19,59,43,1027.6,1029.6,38.8,39.2,No
34.7,31.8,30,19,24,99,88,1026.1,1027,38.5,37.9,Yes
35.4,38.9,47,15,11,72,48,1015.2,1016.5,43.4,40.9,Yes
29.9,35.9,28,13,10,89,61,1019.5,1019.3,37.8,41.2,No
22.9,37.9,38,12,23,73,34,1021.1,1012.2,31.4,48.6,No
25.8,40.8,35,13,11,21,15,1016.7,1015.6,40.2,50.9,No
12.5,23.9,33,2,16,105,66,1022.6,1019.9,16.8,28.8,Yes
17.1,22.4,52,13,23,78,46,1022.7,1021.5,21.6,28.8,No
26.9,23.3,30,8,11,90,57,1034.3,1032.8,21.2,24.7,No
33.1,30.2,52,13,32,86,81,1006.7,1008.4,36.7,35.1,No
26,31.6,37,15,18,84,52,1035.2,1037.7,33.2,34.8,No
17.1,22.9,42,12,31,60,47,1028.4,1028.8,22.1,33.5,No
22.2,18.5,52,30,32,104,73,1023.2,1015.2,17.2,30.9,Yes
30.5,33.5,39,5,27,88,64,1024.9,1018.9,35.1,44.9,No
17.2,24.3,22,13,14,90,61,1035.2,1033.1,21,37.1,No
29.4,22.3,63,29,32,93,79,1008.2,1010.4,27.8,34.9,Yes
24.2,43.4,41,6,17,72,29,1022.8,1017.8,32.6,44.2,No
35,48.9,54,17,25,49,24,1017.3,1015.5,41.1,59.7,No
31.4,28.4,41,24,18,89,64,1027.5,1031.6,31.4,39.9,No
36,29.5,39,14,25,103,104,1014.7,1014.4,37.6,38.6,Yes
30.1,43.8,53,6,28,69,41,1014.7,1018.6,40.7,49.4,No
34,35.2,43,16,22,90,58,1026.5,1028.1,33.7,43.6,Yes
22.4,32.1,39,12,20,79,31,1030.9,1020.3,23.2,37.9,No
24.5,23.7,28,7,9,106,76,1033.2,1026.4,23,36.1,Yes
25.7,21.3,41,25,14,103,101,1017.7,1014.2,28.4,24.6,Yes
30.7,31.3,37,12,10,95,90,1031,1025.6,32.9,39.2,Yes
24,29.4,45,9,19,82,46,1024,1016.4,29.3,35.9,No
47.3,45.7,44,19,19,35,25,1018.6,1009.6,45.2,56.5,No
23.4,26.3,22,16,15,109,71,1026.9,1024.8,21.6,29.7,Yes
33.2,30,48,24,29,56,96,1018.4,1018.9,32.4,31.7,Yes
24.3,22,42,28,24,88,59,1024.1,1029.2,27.2,30.6,No
19.7,20.6,23,7,9,99,106,1013.2,1013.6,25.8,21.9,Yes
35.6,42.2,57,31,30,58,45,1024.2,1016.2,33.9,48.2,Yes
14.9,24.6,30,16,23,104,65,1026.2,1018.9,22.8,32.9,Yes
17.6,23.1,38,5,15,88,51,1030.3,1028.7,22.8,28.9,No
15.9,29.8,53,23,15,65,48,1028.1,1020.7,34.9,40.3,No
13,27,43,21,19,44,37,1014.9,1022.2,26.6,33.1,No
29.5,27.9,41,13,23,99,70,1030.7,1025.9,29.7,36.5,Yes
27,35.3,38,15,18,79,42,1024,1022.2,35.7,42.9,No
18.9,21,17,8,7,106,67,1032.2,1032.9,24,29.3,No
34.7,50.4,76,15,14,25,18,1022.8,1024.4,43.5,50.1,No
14.8,32.5,53,8,37,83,31,1026.4,1015.8,29.2,44.4,No
23.3,25.4,28,8,23,106,53,1024.5,1025.4,20,38.2,Yes
19.8,28.3,47,7,33,62,54,1035.3,1027.2,30.6,39.4,No
23.8,29.7,34,18,16,61,40,1036.6,1030.9,30.6,36.6,No
25.8,28.2,47,9,23,104,63,1009.4,1000.5,29.5,27.4,No
18.4,29.9,28,3,20,109,67,1028.2,1021,23.2,34,Yes
27.3,43,33,5,15,105,38,1025.7,1026.2,31.8,49.7,No
38.2,42.9,41,10,26,43,35,1022.4,1022.8,44.4,51.6,No
29.4,42.3,27,8,22,62,44,1024.5,1025.5,37.6,44.3,No
37.9,43.6,58,19,20,57,33,1019.1,1013.4,38.8,46.7,Yes
21.9,23.2,64,37,26,102,101,1009.6,1001.5,33.8,31.7,Yes
16.4,21.5,34,16,21,99,98,1016.4,1016.7,18.6,25.2,Yes
11.7,24.8,21,13,9,85,53,1036.4,1036.1,24.4,29.3,No
30.2,37.6,26,3,15,62,29,1026.6,1024.4,30.6,43.5,No
20.5,29.3,40,8,21,59,72,1013.3,1011.7,27.3,26.6,Yes
16.3,27.8,17,7,11,109,60,1036.4,1037.9,24,28,No
25,33.7,64,23,41,103,60,1016.6,1008.2,32.1,39.8,Yes
26.5,21.3,54,24,32,108,69,1024.4,1023.8,29.4,27.2,Yes
20.6,26.5,25,15,16,82,53,1023.8,1022.5,22.7,32.2,No
30.7,37.7,32,4,15,66,24,1017.5,1013.4,36.3,48.8,No
29.5,29.2,89,18,27,76,103,1012.7,1011.9,32.9,27.3,Yes
22.9,25.7,21,12,19,92,61,1025.3,1023.6,22.3,31.9,No
22.1,21.3,51,4,11,104,78,1023.7,1019.8,24,25.9,Yes
27.5,22.6,37,18,14,93,75,1034,1035.2,27.8,26.7,Yes
18.4,29.1,38,3,31,86,54,1024.7,1026,32,37.2,No
34.4,33.8,33,10,19,102,68,1019.6,1017.7,38.3,43.4,Yes
21.7,25.7,34,18,14,98,63,1042.8,1035.8,24.2,29.3,No
32.6,22.6,23,11,12,110,106,1017.7,1016,30.4,29.6,Yes
33.3,35.8,48,17,23,79,65,1028,1024.6,35.1,41.3,No
23.7,27.8,49,30,26,106,98,1017.3,1022.1,26.3,26.9,Yes
41.9,42,41,10,17,84,59,1015.3,1015.6,43.8,53.9,Yes
23.1,22.6,65,37,26,79,75,1017.8,1016.2,31.2,25.9,Yes
37.4,40,63,10,20,91,53,1019.4,1014,34.2,43.3,No
24,26.4,28,5,19,95,90,1039.4,1037,26.8,29.7,Yes
16.4,21.1,54,32,30,51,39,1025.5,1015.6,27,34.2,No
24.5,23.7,28,7,9,106,76,1033.2,1026.4,23,36.1,Yes
32.7,28.8,17,10,15,103,101,1021.5,1020.2,27.6,33.3,Yes
32.5,37.5,66,21,22,81,67,1023,1012,39.9,41.3,Yes
31,38.6,32,10,18,73,47,1024.1,1023.7,29,44.4,No
16.9,22.6,48,23,34,92,85,1021.7,1020.3,25.5,25.5,No
30.1,47.6,62,4,23,69,25,1015.9,1015.8,43.8,50,No
34,28.4,36,9,8,102,102,1029.5,1022.6,30.3,31,Yes
16.8,19.6,38,8,13,106,96,1024.7,1014.6,21.1,31.4,Yes
29.3,30.7,42,8,19,79,54,1029.7,1024.7,37.9,43.6,No
23.8,31.2,49,14,34,85,63,1039.8,1035.9,34.1,30.1,No
20.8,32.9,45,7,31,80,42,1019.7,1017.4,29.7,42.6,No
24.2,22.6,26,20,11,105,96,1010.7,1013.6,29,22.3,Yes
33.2,28.2,28,8,22,86,62,1033.8,1032.6,29.3,37.4,No
13.4,20.8,35,13,23,94,63,1030.4,1028.2,18.5,26.6,No
35.1,40.2,47,21,29,49,44,1022.8,1021,38.1,46.1,Yes
18.4,27,37,8,25,107,32,1034,1039.2,18.1,31.2,No
34,31.1,63,17,14,37,90,1014,1014.4,42,33.4,Yes
18.4,29.9,28,3,20,109,67,1028.2,1021,23.2,34,Yes
29.3,38.2,52,33,19,54,17,1024.7,1018.1,33.4,39.2,No
22,21.8,40,21,17,101,60,1017,1013.8,20.4,25.4,Yes
26.6,32.3,38,17,17,104,73,1016.1,1015.3,32.8,41.4,Yes
16.8,27.6,58,20,33,77,59,1021.2,1018.1,35.2,39,No
17.4,22.1,23,7,13,91,71,1028.7,1026.5,22,30.4,No
24.8,23.5,78,35,31,46,32,1015.4,1018.5,34.2,35.6,No
21.2,35.8,26,9,17,96,50,1023.6,1021.7,28.6,36.6,No
26.2,20.5,19,12,14,108,84,1031.8,1035.4,24.5,26.1,No
19.7,23.9,40,19,23,71,50,1040.1,1039,24.9,36.9,No
26.7,26.8,17,16,13,103,105,1026.8,1024.9,29.5,25.3,Yes
28.3,27.9,47,24,17,99,90,1017.3,1013.8,35,41.1,Yes
30.7,44.1,52,19,36,55,57,1017.4,1017.6,43.7,42.8,Yes
24.8,29.5,44,10,27,57,63,1024,1024.5,27.8,35.7,No
31.6,28.5,33,12,25,84,55,1019.7,1019,31.3,40.8,No
34.9,34,38,21,21,56,43,1030.8,1029.1,35.1,40.8,Yes
14.8,33,24,12,11,91,48,1023.4,1027,24.4,35.8,No
23.1,28.7,41,14,27,63,40,1012.9,1006.2,30.6,37.4,No
29.5,31.5,24,10,14,87,66,1021.8,1015.6,40.1,41.7,Yes
21.1,23.7,23,7,16,109,62,1040.6,1032.2,27.3,29.2,No
37.8,38.1,30,14,18,85,60,1026.2,1024.5,37.8,41.3,Yes
21.3,25.1,42,2,26,108,50,1018.1,1014.4,26.3,30.6,No
39,28.3,33,18,13,91,89,1032.3,1028.2,35.4,37.4,Yes
29.5,44.8,46,12,24,58,17,1017.6,1007.1,42,48.4,No
16.7,16.7,62,16,24,93,90,1013.3,1017.4,20.9,16.7,Yes
16.2,20.7,38,11,21,107,49,1030,1027.1,25.1,26.6,No
29.3,41.4,53,6,30,72,22,1019.8,1015.9,30.4,47.4,No
21.3,23.7,27,15,14,95,72,1024.1,1019.9,24.8,29.9,Yes
24.8,19.2,81,24,27,84,73,1016.7,1015.8,28.6,32.2,Yes
21.3,23.7,41,25,20,83,75,1025.3,1022.6,29.9,25.2,No
22.4,21.9,26,12,15,89,63,1020.2,1016,28.5,30.9,No
19.2,24.8,21,21,10,102,105,1027.1,1021.6,29,28.8,Yes
39.9,30.7,47,12,17,102,96,1012.6,1011.4,32.8,30.2,Yes
28.8,37.6,54,24,27,67,39,1012,1013.8,31.9,35.7,No
27.1,29.3,31,12,17,102,102,1028.6,1023,34.1,28.6,Yes
20.6,24.3,19,9,8,88,44,1031.6,1032,28.3,33.9,No
26.7,29.4,53,25,26,94,70,1019.4,1023.9,36.3,36,No
16.6,28.7,27,13,13,93,54,1036,1029.5,28.9,27.2,Yes
25.2,33.5,41,17,13,71,35,1028.1,1021.5,31.5,39.2,No
27.6,34.4,32,15,13,92,51,1019.2,1010.1,34.4,37,Yes
27.8,31.5,43,11,23,84,38,1023.9,1019.6,24.8,34,Yes
10.7,21.6,19,4,14,93,45,1036.9,1033.8,18.5,26.3,No
29,27.1,33,16,27,85,71,1022.5,1021.5,32.6,31.7,No
13.3,26.7,19,6,14,107,61,1029.3,1032.7,21.7,34.5,No
14.6,23.6,34,10,19,58,37,1028.5,1026.7,23.4,32.7,No
30.2,26.1,40,23,22,105,84,1017.7,1011.5,28.2,28,Yes
29,40.6,46,22,24,64,45,1024.3,1018.1,37.4,48.8,No
40.7,43.8,70,19,27,61,88,1013.8,1012.4,42.1,40.4,Yes
20.2,20.3,24,5,14,110,80,1031.5,1028.4,18.5,21.8,Yes
28,37.4,34,7,13,94,60,1017.3,1018.6,34.6,39.9,No
38.4,44,102,32,57,69,41,1013.3,999.8,37.1,53.1,Yes
21,20.4,47,9,25,103,110,1020.1,1013.7,30.2,26.7,Yes
19.1,25.3,37,12,25,101,72,1034.2,1030.3,30.6,40.1,Yes
21.4,24.1,63,29,30,81,54,1022.9,1019.1,24.3,29.3,No
21,20.4,47,9,25,103,110,1020.1,1013.7,30.2,26.7,Yes
35.9,35.8,56,15,18,103,88,1012,1004.8,38.9,41.7,Yes
27.3,22,72,25,35,99,94,1012.9,1005.4,24.2,23.9,Yes
28.6,23.6,30,17,19,92,87,1020.7,1016.3,31.7,31.2,Yes
14.7,23.3,24,16,14,74,55,1028.9,1017,23.7,30.9,No
25.1,27.8,29,7,12,94,58,1025.3,1022.6,21.7,32.7,No
19,24.8,48,27,19,78,84,1037.6,1030.3,27.5,31.3,Yes
39.3,38.1,45,25,27,66,79,1023.6,1018.9,33.2,34.4,No
25.1,22.3,31,16,18,102,84,1019.9,1014.5,24.6,27.7,Yes
26.4,18.6,35,13,23,97,93,1013.5,1018,24.8,27.2,Yes
23.7,27,38,8,14,73,57,1015.6,1007.9,33.1,32.6,Yes
15.9,23.6,51,18,21,77,58,1020.4,1014.7,20.8,33,No
32.1,33.1,45,17,19,85,65,1022.8,1016.1,33.4,32.8,Yes
21.4,22.4,51,15,17,88,66,1013.9,1020.5,29.4,30,No
24.5,27.5,69,24,28,82,81,1019.4,1027.3,30.2,31.4,Yes
31.8,37.3,33,15,28,67,52,1023.5,1023.7,38.8,37.6,Yes
34.3,34.6,32,15,13,93,60,1024.2,1013.7,34.2,40.1,No
21.1,25.3,61,15,25,71,53,1023,1021.3,22.6,30.7,No
32.7,27.8,25,15,18,99,102,1018.3,1013.9,31.8,29.6,Yes
18.5,18,16,6,17,85,54,1036.7,1038.1,20,24.4,No
26.8,34.9,34,27,13,49,28,1023.2,1022.6,30.1,43.7,No
28.3,33.2,26,5,8,89,48,1027.1,1026.4,32.3,45.9,No
25.1,31,50,29,23,56,39,1026,1021.6,30,33.5,No
33.6,29.2,30,22,10,90,62,1032,1024.8,25.9,38.8,No
35.6,33.9,35,17,30,106,76,1030.7,1025.6,38.2,41.1,Yes
29.8,30.2,36,21,25,71,40,1032.4,1026.4,32,38.5,No
34.8,35.8,46,18,30,98,102,1013.9,1014.5,36.1,39,Yes
37.8,38.2,29,18,22,63,44,1018.1,1016.1,36.9,46.9,No
28.7,51.5,40,12,13,76,29,1021.5,1017.4,45.6,50.6,No
23.4,24.5,41,11,20,86,68,1021.4,1022.9,23.6,27.8,Yes
27.4,22.1,36,10,24,94,58,1024.7,1025.1,30.7,25.6,No
16.8,25,22,10,13,74,69,1029.5,1028.2,24.7,30.8,Yes
35.5,39.7,89,11,22,83,49,1019,1010.5,39.2,47.9,Yes
28.1,34.7,35,8,18,98,99,1018.5,1013.2,30.7,35.9,Yes
33,37.4,28,18,23,88,66,1023.7,1021.3,35.8,42.7,No
19.4,22.8,22,12,16,83,50,1037.2,1033.9,25.3,34.5,No
30.4,36.4,40,10,21,92,71,1016.9,1018.5,37.3,38.1,No
29.4,29.6,29,14,22,106,100,1031.4,1028,34.7,29.1,Yes
14,24.1,41,8,29,102,65,1032.5,1029.7,24.2,27,Yes
33,32,45,16,23,105,66,1015.7,1014.7,35.4,40.8,Yes
32.2,41.3,32,10,15,93,52,1013.9,1009,34.1,51.3,Yes
21.5,25.7,25,9,15,106,71,1027,1018.1,29.3,25.8,No
17.1,18.8,40,19,24,94,95,1025.6,1022.1,18.2,25.7,Yes
25.9,46.6,43,9,19,41,19,1017.8,1012.6,42,54.4,No
35.8,25.7,25,15,14,100,78,1025.3,1032,30.5,34.5,Yes
23.8,24.6,40,14,27,93,84,1019.1,1016.1,28.4,27,Yes
33,50.7,54,14,32,75,25,1015.9,1011.1,47.2,54.4,No
27.3,22,72,25,35,99,94,1012.9,1005.4,24.2,23.9,Yes
16.2,19.9,41,15,16,73,51,1032.8,1031.2,29.5,26.4,No
13,23.7,44,10,27,87,55,1027.2,1025.1,28.2,27.3,No
23.4,16.9,46,17,23,91,89,1021.6,1019.6,22.7,28.7,Yes
34,31.9,40,25,28,63,63,1018.3,1019.3,33.8,42.9,No
23.8,35.1,37,24,16,63,34,1023.4,1016.2,36.5,36,No
23.1,31.8,50,10,19,64,82,1024.6,1016,35.6,36.9,Yes
30.9,32.8,17,7,13,104,98,1016.9,1023.3,31.9,43.4,Yes
27.8,33.6,30,23,16,50,32,1022.2,1019.1,33.8,34.2,No
19.6,22.8,31,20,19,89,58,1034.9,1038.7,27.6,35,No
18.1,22.6,27,9,18,103,60,1033.5,1030.2,21.3,26.7,No
28.4,33.5,22,16,14,74,36,1033.3,1027.9,31.8,42.8,No
21.8,32.5,68,26,44,32,18,1020.6,1015.8,32.8,41.8,No
13.2,24.8,25,6,20,106,66,1035,1040.1,24.5,30.7,No
31.6,40.2,43,15,22,64,44,1016.3,1015.1,33.6,49,Yes
28.1,32.8,50,22,30,69,43,1028.2,1022.6,34.3,33.4,No
17.1,28.2,32,23,18,65,35,1031.4,1023.8,26.9,31,No
34.2,32.8,29,14,9,103,85,1013.5,1010.6,36.8,36.7,No
